Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index)
northcenter_region_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),26424,1514571,161217
northcenter_region_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),174176,1514571,886256
north_region_dissolve_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),3106,617964,220861
north_region_dissolve_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),79157,617964,1528238
north_region_dissolve_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),169482,617964,568889
north_region_dissolve_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),30400,617964,722938
north_region_dissolve_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),5203,617964,161217
north_region_dissolve_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),37864,617964,886256
southcenter_region_dissolve1_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),19449,697942,220861
southcenter_region_dissolve1_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),131098,697942,1528238
southcenter_region_dissolve1_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),21821,697942,568889
southcenter_region_dissolve1_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),210939,697942,722938
southcenter_region_dissolve1_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),35480,697942,161217
southcenter_region_dissolve1_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),88588,697942,886256
south_region_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),2952,165093,220861
south_region_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),30406,165093,1528238
south_region_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),5307,165093,568889
south_region_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),33917,165093,722938
south_region_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),46357,165093,161217
south_region_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),11591,165093,886256
west_region_1,no,no,1,east_region_dissolv_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),12201,898320,220861
west_region_1,no,no,1,northcenter_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),188610,898320,1528238
west_region_1,no,no,1,north_region_dissolve_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),30129,898320,568889
west_region_1,no,no,1,southcenter_region_dissolve1_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),92566,898320,722938
west_region_1,no,no,1,south_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),10764,898320,161217
west_region_1,no,no,1,west_region_1,no,no,0: All Days (M-Su),0: All Day (12am-12am),282222,898320,886256
